 ,Label,X,Y,Slice
1,tomeasure:2728:98,1263.480,743.502,98
2,tomeasure:2027:98,826.365,980.074,98
3,tomeasure:2322:100,1306.560,1061.274,100
4,tomeasure:2453:105,471.699,892.655,105
5,tomeasure:2085:103,689.249,954.384,103
6,tomeasure:2543:110,784.103,1185.584,110
7,tomeasure:2175:114,1007.832,908.813,114
8,tomeasure:2004:110,987.114,927.470,110
9,tomeasure:2789:124,949.824,599.288,124
10,tomeasure:2640:136,1080.327,932.028,136
11,tomeasure:3037:136,919.590,819.741,136
12,tomeasure:2872:152,883.550,990.428,152
13,tomeasure:2984:155,700.817,985.453,155
14,tomeasure:2612:167,534.265,1024.822,167
15,tomeasure:2967:227,1246.071,822.620,227
16,tomeasure:2935:230,672.655,698.748,230
17,tomeasure:2755:284,676.789,931.600,284
18,tomeasure:2186:350,1036.832,972.610,350
19,tomeasure:2550:368,756.341,1125.087,368
20,tomeasure:3046:371,1174.397,936.585,371
21,tomeasure:2883:372,864.899,1012.403,372
22,tomeasure:2237:376,936.580,1315.697,376
23,tomeasure:2335:391,1210.867,1269.276,391
24,tomeasure:2694:390,898.456,1137.916,390
25,tomeasure:2390:402,1331.840,1195.935,402
26,tomeasure:2460:415,318.396,1098.987,415
27,tomeasure:2649:416,1084.496,909.226,416
28,tomeasure:2038:414,847.486,1024.380,414
29,tomeasure:2143:433,652.370,787.008,433
30,tomeasure:2094:437,591.439,973.048,437
31,tomeasure:2496:467,596.400,979.659,467
32,tomeasure:2623:465,568.247,927.047,465
33,tomeasure:2580:467,769.193,1101.487,467
34,tomeasure:2800:477,1164.467,789.090,477
35,tomeasure:3001:497,721.548,1239.857,497
36,tomeasure:2064:503,439.389,1150.368,503
37,tomeasure:3085:564,901.766,1264.718,564
38,tomeasure:2892:568,881.466,1372.866,568
39,tomeasure:2855:585,619.201,530.950,585
40,tomeasure:2252:635,997.883,846.268,635
41,tomeasure:3055:643,1108.506,990.026,643
42,tomeasure:2405:646,1156.573,1419.683,646
43,tomeasure:2677:653,1084.072,878.154,653
44,tomeasure:3070:660,1152.023,1217.503,660
45,tomeasure:2522:665,733.146,885.626,665
46,tomeasure:2367:666,1124.680,1267.210,666
47,tomeasure:2291:673,941.135,914.177,673
48,tomeasure:2434:675,1306.155,1229.909,675
49,tomeasure:2105:678,836.295,931.598,678
50,tomeasure:2595:688,806.048,876.093,688
51,tomeasure:2834:688,1291.247,868.631,688
52,tomeasure:2815:699,994.588,371.032,699
53,tomeasure:2507:712,432.321,932.429,712
54,tomeasure:2707:710,975.528,1169.408,710
55,tomeasure:2772:730,731.078,1331.839,730
56,tomeasure:2126:726,856.611,1410.193,726
57,tomeasure:2212:776,1019.445,1481.480,776
58,tomeasure:2473:778,797.341,1013.174,778
59,tomeasure:2154:781,167.973,734.382,781
60,tomeasure:2948:779,382.222,617.965,779
61,tomeasure:2563:787,625.855,904.673,787
62,tomeasure:2905:800,874.457,1564.844,800
63,tomeasure:2914:802,944.449,1180.594,802
64,tomeasure:2662:807,952.319,1249.382,807
65,tomeasure:2354:816,1033.519,365.634,816
66,tomeasure:3028:804,727.742,1306.568,804
67,tomeasure:2197:816,750.134,737.285,816
