LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2000,2000,0,-1.0,961.6404483954152,1048.6479857340785,0.0,0.0,0,5.0,1,,36.86046511627907,36.0,0.0,103.0,4755.0,22.632852292783976,0.2716024226078775,0.6957189138362263
ID2017,2017,0,-1.0,1005.2823242668716,980.6992422886462,0.0,342416.67276000977,817,5.0,1,,36.906976744186046,38.0,0.0,136.0,4761.0,31.91503413862764,0.43054549987773355,0.696082206460682
ID2002,2002,0,-1.0,986.4997447778904,921.0369309707057,0.0,46521.726654052734,111,5.0,1,,92.0077519379845,86.0,0.0,255.0,11869.0,65.88478296949901,0.6279609485833229,1.077352811895335
ID2019,2019,0,-1.0,1032.3513358833447,911.6456412262152,0.0,58676.05163574219,140,5.0,1,,34.55038759689923,30.0,0.0,118.0,4457.0,29.13839853835219,0.37514375426441926,0.6469442542280117
ID2004,2004,0,-1.0,994.7861769053821,916.8937149069599,0.0,50712.87319946289,121,5.0,1,,73.78294573643412,52.0,0.0,255.0,9518.0,72.42851661728166,0.5969880610821712,0.7616235629518355
ID2021,2021,0,-1.0,1047.2669137128298,887.8912024607388,0.0,342416.67276000977,817,5.0,1,,26.333333333333332,12.0,0.0,132.0,3397.0,32.04131447574106,0.165045497332915,0.23285539403978708
ID2006,2006,0,-1.0,998.1007497563788,925.1801470344516,0.0,51131.987854003906,122,5.0,1,,52.883720930232556,15.0,0.0,255.0,6822.0,75.1401428069345,0.6464394579803858,0.5526651454231292
ID2008,2008,0,-1.0,988.1570312033888,907.778639566719,0.0,51131.987854003906,122,5.0,1,,59.89922480620155,27.0,0.0,255.0,7727.0,74.02753340831626,0.83935715766699,0.7384798508136806
ID2011,2011,0,-1.0,1026.2746189898508,936.5049376086904,0.0,57418.70767211914,137,5.0,1,,34.83720930232558,25.0,0.0,169.0,4494.0,33.82047981107251,0.3722627737226277,0.5588637179349419
ID2013,2013,0,-1.0,1022.9600461388541,949.2108002041776,0.0,63705.427490234375,152,5.0,1,,46.36434108527132,41.0,0.0,129.0,5981.0,31.112933902281735,0.5055052535389003,1.0007290787427991
ID2015,2015,0,-1.0,1037.3231951598398,911.6456412262152,0.0,261527.54443359375,624,5.0,1,,42.07751937984496,31.0,0.0,156.0,5428.0,38.28748416647991,0.48861852275839573,0.7214559208355003
ID2048,2048,1,-1.0,878.2236983119984,1210.509626624417,0.0,190278.0531616211,454,5.0,1,,30.07751937984496,26.0,0.0,114.0,3880.0,27.801363614010903,0.4504348431258995,0.6719541905737888
ID2050,2050,1,-1.0,906.6737819497201,1007.7682539051192,0.0,273262.7547607422,652,5.0,1,,31.75968992248062,31.0,0.0,84.0,4097.0,20.263026363381677,0.4929253145812174,1.0350110345722
ID2052,2052,1,-1.0,885.681487226741,991.7478184586352,0.0,342416.67276000977,817,5.0,1,,34.53488372093023,34.0,0.0,97.0,4455.0,19.527243193656037,0.4443862406146325,1.0882390843449359
ID2054,2054,1,-1.0,866.3464789292603,1150.294886497977,0.0,186506.02127075195,445,5.0,1,,33.06201550387597,32.0,0.0,103.0,4265.0,20.12179785782096,0.5494293409340693,1.1652862218091835
ID2056,2056,1,-1.0,961.3642339911654,927.6660766726991,0.0,342416.67276000977,817,5.0,1,,29.48062015503876,26.0,0.0,96.0,3803.0,19.18458885700716,0.004973463499177561,0.015209623202226855
ID2058,2058,1,-1.0,933.742793566193,1225.9776332624015,0.0,105197.77828979492,251,5.0,1,,26.891472868217054,22.0,0.0,163.0,3469.0,28.45452520856676,0.4070494651332003,0.5468032218306733
ID2060,2060,1,-1.0,553.9479877228222,1262.437934623365,0.0,183572.21868896484,438,5.0,1,,37.10077519379845,35.0,0.0,123.0,4786.0,29.176950706326046,0.3329476664623521,0.6352372466420139
ID2062,2062,1,-1.0,433.5185074699424,1142.2846687747349,0.0,212491.12985229492,507,5.0,1,,60.992248062015506,14.0,0.0,255.0,7868.0,80.25910152087415,0.5096452443287545,0.5131016553747363
ID2064,2064,1,-1.0,439.04279555493673,1147.25652805123,0.0,213748.47381591797,510,5.0,1,,79.76744186046511,54.0,0.0,255.0,10290.0,81.55476607278108,0.7396289354538692,0.8316940301526888
ID2066,2066,1,-1.0,454.51080219292135,1154.4381025617229,0.0,214586.703125,512,5.0,1,,31.65891472868217,7.0,0.0,255.0,4084.0,55.18130572882436,0.28461784605088414,0.25422732199716797
ID2068,2068,1,-1.0,433.5185074699424,1142.2846687747349,0.0,214586.703125,512,5.0,1,,52.89922480620155,23.0,0.0,255.0,6824.0,69.80081537861417,0.5716505269463756,0.5513069067457104
ID2071,2071,1,-1.0,432.96607866144285,1139.5225247322378,0.0,221292.53759765625,528,5.0,1,,29.891472868217054,24.0,0.0,116.0,3856.0,28.216861179886074,0.4016409528624834,0.6071134014918763
ID2073,2073,1,-1.0,475.50309691590036,1148.3613856682289,0.0,234704.20654296875,560,5.0,1,,33.263565891472865,28.0,0.0,100.0,4291.0,21.407329126027786,0.504966601713895,1.042730571308439
ID2075,2075,1,-1.0,353.96875904602166,1054.4484882233226,0.0,342416.67276000977,817,5.0,1,,31.3953488372093,29.0,0.0,96.0,4050.0,20.657330192880075,0.34260851165128153,0.7756572733295424
