,ID,Track_ID,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Downstream_IDs,Death,comment
0,2010,0,1032.628,413.907,175,2010,"['2008', '2010']",Other,Cytokinesis
1,3052,1,1145.597,469.807,0,3052,"['3052', '2035']",Other,""
2,2083,3,725.477,476.884,224,2083,"['2079', '2083']",Other,Cytokinesis
3,2192,6,516.659,9.529,720,2192,"['2190', '2192']",FALSE,""
4,2194,6,528.812,10.634,720,2194,"['2190', '2194']",FALSE,""
5,2264,8,5.110,768.567,778,2264,"['2264', '2256', '2260']",FALSE,""
6,2253,8,6.215,953.078,486,2253,"['2248', '2244', '2253']",FALSE,""
7,2280,9,1600.524,599.523,313,2280,"['2272', '2280', '2276']",FALSE,""
8,2282,9,1607.154,629.355,531,2282,"['2272', '2282', '2274']",FALSE,""
9,2308,10,514.449,566.378,602,2308,"['2306', '2308']",TRUE,""
10,2310,10,526.603,561.958,602,2310,"['2306', '2310']",TRUE,""
11,2298,10,758.623,358.664,597,2298,"['2298', '2296']",Other,Cytokinesis
12,2342,12,532.127,580.741,567,2342,"['2342', '2340']",TRUE,""
13,2344,12,543.176,578.531,567,2344,"['2344', '2340']",TRUE,""
14,2384,14,974.070,7.320,589,2384,"['2377', '2384', '2381']",FALSE,""
15,2437,15,987.328,9.529,515,2437,"['2437', '2433', '2429']",FALSE,""
16,2782,25,1606.049,346.511,586,2782,"['2782', '2700', '2696']",FALSE,""
17,3097,27,929.047,616.096,627,3097,"['3095', '3097']",TRUE,""
18,3099,27,932.362,603.943,627,3099,"['3099', '3095']",TRUE,""
19,3298,32,729.068,733.211,802,3298,"['3296', '3298']",TRUE,""
20,3300,32,722.439,727.687,802,3300,"['3296', '3300']",TRUE,""
21,3304,32,175.534,1034.837,504,3304,"['3304', '3289', '3291']",Other,Normal
22,3281,32,690.398,813.866,635,3281,"['3281', '3279']",Other,Cytokinesis
23,3338,33,493.733,1144.218,546,3338,"['3338', '3336']",TRUE,""
24,3340,33,502.572,1138.694,546,3340,"['3340', '3336']",TRUE,""
25,3352,33,1606.325,421.641,557,3352,"['3349', '3352', '3345']",FALSE,""
