LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2004 ? ID2008,0,2004,2008,-1.0,NaN,0.0026087714361541663,190.24737052419485,36463.020080566406,1011.082826756116,508.37261102161756,0.0,
ID2008 ? ID2012,0,2008,2012,-1.0,0.002345812051011754,0.03427017186356819,14.363149020985619,73135.59774780273,1035.9421231385911,412.2499983427135,0.0,
ID2008 ? ID2010,0,2008,2010,-1.0,0.0025200853055949335,0.008336292222637872,3.493866559902463,73135.59774780273,1030.970263862096,414.45971357671135,0.0,
ID2012 ? ID2016,0,2012,2016,-1.0,3.05278435538954E-6,7.938424388219175E-4,213.600726087581,207881.1259765625,1139.7987391364873,453.68215898017223,0.0,
ID2035 ? ID2037,1,2035,2037,-1.0,0.0036154029045600273,0.018453169464998448,7.734003318992336,68944.4460144043,1038.1518383725888,479.64631297964627,0.0,
ID2035 ? ID2039,1,2035,2039,-1.0,0.005169800753229719,0.015371363351118973,6.44237161537395,68944.4460144043,1039.8091247980872,473.0171672776529,0.0,
ID2039 ? ID2043,1,2039,2043,-1.0,9.066958131700564E-6,8.01186578723698E-4,218.9347225862091,205785.55010986328,939.2670816511875,509.47746863861653,0.0,
ID2035 ? ID3052,1,2035,3052,-1.0,NaN,0.0015655909660427076,107.61072037441438,34367.44421386719,1091.8742748950185,472.79324384458937,0.0,
ID2037 ? ID2046,1,2037,2046,-1.0,3.4998296700549303E-6,8.06555268078889E-4,220.4017872448591,205785.55010986328,948.1059425871788,547.042627616579,0.0,
ID2070 ? ID2079,3,2070,2079,-1.0,NaN,0.0021029096650986815,196.54358078370828,46731.34182739258,651.4516724229749,416.6694288107092,0.0,
ID2081 ? ID2086,3,2081,2086,-1.0,6.910133681260279E-6,6.771292723279602E-4,168.29052534071266,218149.44772338867,806.6841676113199,500.08617889412585,0.0,
ID2079 ? ID2081,3,2079,2081,-1.0,0.0026993144109488687,0.019191585930100393,8.043484863760533,93672.24124145508,724.372275144902,485.1706010646408,0.0,
ID2079 ? ID2083,3,2079,2083,-1.0,0.005460476811455423,0.010544668265713476,4.419430467995653,93672.24124145508,725.477132761901,479.09388417114684,0.0,
