,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours,Seen_sister,Seen_granny,1st Error Type,comment,2nd Error Type,comment 2
31,16,2456,TRUE,2456.000,704.485,721.058,3,[],2,Example,siHAUS6,1,,,,['2463' '2520'],2,NaN,NaN,NaN,,,normal,,blank,
75,33,3309,TRUE,3309.000,864.965,619.411,24,[],2,Example,siHAUS6,1,,,,['3318' '3345'],2,NaN,NaN,NaN,,,normal,,blank,
44,25,2679,TRUE,2679.000,883.472,355.350,29,[],2,Example,siHAUS6,1,,,,['2687' '2696'],2,NaN,NaN,NaN,,,normal,,blank,
69,32,3252,TRUE,3252.000,753.375,964.126,36,[],2,Example,siHAUS6,1,,,,['3259' '3289'],2,NaN,NaN,NaN,,,normal,,blank,
40,20,2600,TRUE,2600.000,1076.822,705.590,45,[],2,Example,siHAUS6,1,,,,['2621' '2629'],2,NaN,NaN,NaN,,,normal,,blank,
24,14,2370,TRUE,2370.000,817.180,519.974,83,[],2,Example,siHAUS6,1,,,,['2377' '2390'],2,NaN,NaN,NaN,,,normal,,blank,
16,9,2272,TRUE,2272.000,1351.931,791.769,94,"['2280', '2282']",2,Example,siHAUS6,1,,,,[],0,NaN,NaN,NaN,,,normal,,blank,
52,27,3066,TRUE,3066.000,807.086,704.918,106,[],2,Example,siHAUS6,1,,,,['3074' '3103'],2,NaN,NaN,NaN,,,normal,,blank,
60,30,3153,TRUE,3153.000,1220.730,823.809,151,[],2,Example,siHAUS6,1,,,,['3161' '3180'],2,NaN,NaN,NaN,,,normal,,blank,
27,15,2407,TRUE,2407.000,906.674,273.590,154,[],2,Example,siHAUS6,1,,,,['2415' '2429'],2,NaN,NaN,NaN,,,normal,,blank,
3,4,2107,TRUE,2107.000,777.405,811.656,158,[],2,Example,siHAUS6,1,,,,['2118' '2130'],2,NaN,NaN,NaN,,,normal,,blank,
57,28,3119,TRUE,3119.000,879.329,643.718,162,[],2,Example,siHAUS6,1,,,,['3126'],1,NaN,NaN,NaN,,,normal,,blank,
1,1,2035,TRUE,2035.000,1038.152,475.779,164,['3052'],2,Example,siHAUS6,1,,,,[],0,NaN,NaN,NaN,,,normal,,blank,
11,7,2204,TRUE,2204.000,1072.402,895.625,167,[],2,Example,siHAUS6,1,,,,['2212' '2225'],2,NaN,NaN,NaN,,,normal,,blank,
17,10,2287,TRUE,2287.000,444.843,558.644,170,[],2,Example,siHAUS6,1,,,,['2296' '2306'],2,NaN,NaN,NaN,,,normal,,blank,
0,0,2008,TRUE,2008.000,1029.313,415.012,174,['2010'],2,Example,siHAUS6,1,,,,[],0,NaN,NaN,NaN,,,Cytokinesis Failure,,blank,
14,8,2244,TRUE,2244.000,236.025,788.454,186,['2253'],2,Example,siHAUS6,1,,,,['2256'],1,NaN,NaN,NaN,,,normal,,blank,
42,20,2629,TRUE,2600.263,1038.152,722.163,194,[],2,Example,siHAUS6,2,2600,,2621,['2659'],1,2,1043,17.383,FALSE,,normal,,blank,
76,33,3318,TRUE,3309.332,818.561,918.827,196,[],2,Example,siHAUS6,2,3309,,3345,['3324' '3336'],2,2,1204,20.067,FALSE,,normal,,blank,
