LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID2016,2016,0,-1.0,1237.0262094323903,497.87646366012814,0.0,342417.09661865234,817,5.0,0,,40.10077519379845,40.0,0.0,123.0,5173.0,23.475334449574504,0.2860216859559649,0.759839113677945,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2008,2008,0,-1.0,1029.3129774365977,415.0121423852108,0.0,72926.04016113281,174,5.0,0,,101.51162790697674,104.0,0.0,255.0,13095.0,67.53912249104563,0.7295262623511057,1.267955886135928,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2010,2010,0,-1.0,1032.6275502875944,413.9072847682119,0.0,73345.15533447266,175,5.0,0,,59.2093023255814,30.0,0.0,255.0,7638.0,65.6344843644764,0.7599876452873758,0.7790848779510015,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2012,2012,0,-1.0,1042.5712688405845,409.4878543002163,0.0,73345.15533447266,175,5.0,0,,60.604651162790695,43.0,0.0,255.0,7818.0,57.97769218154233,0.21201730965594054,0.36571057971258825,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2004,2004,0,-1.0,992.8526760756341,601.7330796580244,0.0,0.0,0,5.0,0,,37.57364341085271,35.0,1.0,79.0,4847.0,16.429667903007072,0.343083767708159,1.1683732105669185,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2035,2035,1,-1.0,1038.1518383725888,475.7793113201501,0.0,68734.88842773438,164,5.0,0,,129.51162790697674,112.0,0.0,255.0,16707.0,104.63172889645116,0.71350340623146,1.0308285424067578,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2037,2037,1,-1.0,1038.1518383725888,483.51331463914244,0.0,69154.00360107422,165,5.0,0,,99.27131782945736,60.0,0.0,255.0,12806.0,85.55843689567386,0.5714226970195205,0.8438308641891691,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
