,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours
0,0,2004,True,2004,994.7861769053821,916.8937149069599,121.0,[],1,Example,siLUC1,1,,,,[],0,,,
1,1,2027,True,2027,826.8478191215497,984.0138151396429,104.0,[],1,Example,siLUC1,1,,,,['2038' '2064'],2,,,
2,1,2038,True,2027.2038,856.1265459720206,1054.7247026275725,422.0,[],1,Example,siLUC1,2,2027,,2064,[],0,2.0,2226.0,37.1
3,1,2064,True,2027.2064,439.04279555493673,1147.25652805123,510.0,[],1,Example,siLUC1,2,2027,,2038,[],0,2.0,2842.0,47.36666666666667
4,2,2085,True,2085,665.262392635461,960.2593763741665,108.0,[],1,Example,siLUC1,1,,,,['2094' '2143'],2,,,
5,2,2094,True,2085.2094,596.7612203815295,959.7069475656672,442.0,[],1,Example,siLUC1,2,2085,,2143,['2105' '2126'],2,2.0,2338.0,38.96666666666667
6,2,2105,True,2085.2094.2105,849.7736146742769,935.9525088001909,693.0,[],1,Example,siLUC1,3,2094,2085,2126,[],0,2.0,1757.0,29.283333333333335
7,2,2126,True,2085.2094.2126,855.8503315677709,1362.4275489617653,736.0,[],1,Example,siLUC1,3,2094,2085,2105,[],0,2.0,2058.0,34.3
8,2,2143,True,2085.2143,632.6690929339935,783.7583720585928,437.0,[],1,Example,siLUC1,2,2085,,2094,['2154'],1,2.0,2303.0,38.38333333333333
9,2,2154,True,2085.2143.2154,164.76189213496056,738.1829953573882,786.0,[],1,Example,siLUC1,3,2143,2085,,[],0,1.0,2443.0,40.71666666666667
10,3,2175,True,2175,1013.0163275858639,910.5407836092162,119.0,[],1,Example,siLUC1,1,,,,['2186' '2237'],2,,,
11,3,2186,True,2175.2186,1044.5047696703325,982.9089575226438,356.0,[],1,Example,siLUC1,2,2175,,2237,['2197' '2212'],2,2.0,1659.0,27.65
12,3,2197,True,2175.2186.2197,746.1932130806302,737.6305665488887,816.0,[],1,Example,siLUC1,3,2186,2175,2212,[],0,2.0,3220.0,53.666666666666664
13,3,2212,True,2175.2186.2212,1012.7401131816143,1484.2381012358935,782.0,[],1,Example,siLUC1,3,2186,2175,2197,[],0,2.0,2982.0,49.7
14,3,2237,True,2175.2237,930.7044351194462,1297.7933783673298,383.0,[],1,Example,siLUC1,2,2175,,2186,['2252' '2291'],2,2.0,1848.0,30.8
15,3,2252,True,2175.2237.2252,1008.5968971178683,830.4386063767962,642.0,[],1,Example,siLUC1,3,2237,2175,2291,[],0,2.0,1813.0,30.216666666666665
16,3,2291,True,2175.2237.2291,938.4384384384384,937.3335808214396,680.0,[],1,Example,siLUC1,3,2237,2175,2252,[],0,2.0,2079.0,34.65
17,4,2322,True,2322,1309.6705977500678,1072.1262100953052,106.0,[],1,Example,siLUC1,1,,,,['2335' '2390'],2,,,
18,4,2335,True,2322.2335,1199.4610504544278,1268.2384371126093,397.0,[],1,Example,siLUC1,2,2322,,2390,['2354' '2367'],2,2.0,2037.0,33.95
19,4,2354,True,2322.2335.2354,1039.2566959895878,371.0940521095046,816.0,[],1,Example,siLUC1,3,2335,2322,2367,[],0,2.0,2933.0,48.88333333333333
20,4,2367,True,2322.2335.2367,1121.292374051756,1261.0568626021163,676.0,[],1,Example,siLUC1,3,2335,2322,2354,[],0,2.0,1953.0,32.55
21,4,2390,True,2322.2390,1329.0056060475488,1200.289693667177,408.0,[],1,Example,siLUC1,2,2322,,2335,['2405' '2434'],2,2.0,2114.0,35.233333333333334
22,4,2405,True,2322.2390.2405,1162.7245346892144,1420.1563594499578,653.0,['2418'],1,Example,siLUC1,3,2390,2322,2434,[],0,2.0,1715.0,28.583333333333332
23,4,2434,True,2322.2390.2434,1300.555522409827,1235.0927086026422,682.0,[],1,Example,siLUC1,3,2390,2322,2405,[],0,2.0,1918.0,31.966666666666665
24,5,2453,True,2453,477.71281214989824,893.4154905457334,108.0,[],1,Example,siLUC1,1,,,,['2460' '2496'],2,,,
25,5,2460,True,2453.2460,328.55703385504705,1100.023864924527,419.0,[],1,Example,siLUC1,2,2453,,2496,['2473'],1,2.0,2177.0,36.28333333333333
26,5,2473,True,2453.2460.2473,818.561386994058,1061.9062771380652,785.0,[],1,Example,siLUC1,3,2460,2453,,[],0,1.0,2562.0,42.7
27,5,2496,True,2453.2496,611.9530126152642,985.1186727566418,472.0,[],1,Example,siLUC1,2,2453,,2460,['2507' '2522'],2,2.0,2548.0,42.46666666666667
28,5,2507,True,2453.2496.2507,455.6156598099202,934.2952223746926,719.0,[],1,Example,siLUC1,3,2496,2453,2522,[],0,2.0,1729.0,28.816666666666666
29,5,2522,True,2453.2496.2522,729.6203488256468,872.9756246312537,670.0,[],1,Example,siLUC1,3,2496,2453,2507,[],0,2.0,1386.0,23.1
30,6,2543,True,2543,785.4156584840912,1183.9930438164433,116.0,[],1,Example,siLUC1,1,,,,['2550' '2580'],2,,,
31,6,2550,True,2543.2550,759.451504484617,1128.7501629664982,374.0,[],1,Example,siLUC1,2,2543,,2580,['2563'],1,2.0,1806.0,30.1
32,6,2563,True,2543.2550.2563,604.7714381047714,903.3592090987235,793.0,[],1,Example,siLUC1,3,2550,2543,,[],0,1.0,2933.0,48.88333333333333
33,6,2580,True,2543.2580,764.6995781653617,1088.9752887545383,473.0,[],1,Example,siLUC1,2,2543,,2550,['2595'],1,2.0,2499.0,41.65
34,6,2595,True,2543.2580.2595,821.0473166323055,866.8989077377598,695.0,[],1,Example,siLUC1,3,2580,2543,,[],0,1.0,1554.0,25.9
35,7,2612,True,2612,537.098909063589,1028.2081198195988,173.0,[],1,Example,siLUC1,1,,,,['2623'],1,,,
36,7,2623,True,2612.2623,564.1679206800619,924.903932630202,473.0,[],1,Example,siLUC1,2,2612,,,[],0,1.0,2100.0,35.0
37,8,2640,True,2640,1096.4330776692805,920.760716566456,141.0,[],1,Example,siLUC1,1,,,,['2649' '2694'],2,,,
38,8,2649,True,2640.2649,1075.993211754801,912.4742844389643,422.0,[],1,Example,siLUC1,2,2640,,2694,['2662' '2677'],2,2.0,1967.0,32.78333333333333
39,8,2662,True,2640.2649.2662,951.4205154381752,1253.8752880916234,815.0,[],1,Example,siLUC1,3,2649,2640,2677,[],0,2.0,2751.0,45.85
40,8,2677,True,2640.2649.2677,1085.384501499292,878.4999127162482,663.0,[],1,Example,siLUC1,3,2649,2640,2662,[],0,2.0,1687.0,28.116666666666667
41,8,2694,True,2640.2694,899.7684218434771,1156.371603391471,400.0,[],1,Example,siLUC1,2,2640,,2649,['2707'],1,2.0,1813.0,30.216666666666665
42,8,2707,True,2640.2694.2707,968.2695940974086,1184.5454726249427,719.0,[],1,Example,siLUC1,3,2694,2640,,[],0,1.0,2233.0,37.21666666666667
43,9,2728,True,2728,1258.0185041553693,742.3262114211342,104.0,[],1,Example,siLUC1,1,,,,[],0,,,
44,10,2755,True,2755,682.1114712946943,934.0190079704429,290.0,[],1,Example,siLUC1,1,,,,['2772'],1,,,
45,10,2772,True,2755.2772,723.8198463364026,1330.1104636645475,735.0,[],1,Example,siLUC1,2,2755,,,[],0,1.0,3115.0,51.916666666666664
46,11,2789,True,2789,958.6020899486684,627.144804848999,132.0,[],1,Example,siLUC1,1,,,,['2800' '2855'],2,,,
47,11,2800,True,2789.2800,1149.1900288809782,775.1957255268513,484.0,[],1,Example,siLUC1,2,2789,,2855,['2815' '2834'],2,2.0,2464.0,41.06666666666667
48,11,2815,True,2789.2800.2815,986.2235303736408,364.46490640751125,717.0,[],1,Example,siLUC1,3,2800,2789,2834,[],0,2.0,1631.0,27.183333333333334
49,11,2834,True,2789.2800.2834,1278.4583700698493,863.3081204825133,697.0,[],1,Example,siLUC1,3,2800,2789,2815,[],0,2.0,1491.0,24.85
50,11,2855,True,2789.2855,622.1729455725041,533.7843362125923,592.0,[],1,Example,siLUC1,2,2789,,2800,[],0,2.0,3220.0,53.666666666666664
51,12,2872,True,2872,875.4615542695012,998.6531785648782,158.0,[],1,Example,siLUC1,1,,,,['2883'],1,,,
52,12,2883,True,2872.2883,863.3081204825135,1004.7298954583722,377.0,[],1,Example,siLUC1,2,2872,,,['2892'],1,1.0,1533.0,25.55
53,12,2892,True,2872.2883.2892,884.5766296097421,1361.8751201532657,574.0,[],1,Example,siLUC1,3,2883,2872,,['2905' '2914'],2,1.0,1379.0,22.983333333333334
54,12,2905,True,2872.2883.2892.2905,844.5255409935322,1606.3248679142719,808.0,"['2907', '2909']",1,Example,siLUC1,4,2892,2883,2914,[],0,2.0,1638.0,27.3
55,12,2914,True,2872.2883.2892.2914,941.7530112894351,1196.4226920076808,815.0,[],1,Example,siLUC1,4,2892,2883,2905,[],0,2.0,1687.0,28.116666666666667
56,13,2935,True,2935,669.1293942949571,703.9324092304224,237.0,[],1,Example,siLUC1,1,,,,['2948'],1,,,
57,13,2948,True,2935.2948,372.75133853500296,614.7151566577614,793.0,[],1,Example,siLUC1,2,2935,,,[],0,1.0,3892.0,64.86666666666666
58,14,2967,True,2967,1247.24614238963,838.1726096957884,235.0,[],1,Example,siLUC1,1,,,,[],0,,,
59,15,2984,True,2984,708.9042685069174,996.7196777351302,159.0,[],1,Example,siLUC1,1,,,,['3001'],1,,,
60,15,3001,True,2984.3001,715.5334142089108,1240.8932110918865,503.0,['3014'],1,Example,siLUC1,2,2984,,,['3028'],1,1.0,2408.0,40.13333333333333
61,15,3028,True,2984.3001.3028,742.3262114211342,1301.9365944310757,816.0,[],1,Example,siLUC1,3,3001,2984,,[],0,1.0,2191.0,36.516666666666666
62,17,3037,True,3037,916.8937149069599,814.694385334562,142.0,[],1,Example,siLUC1,1,,,,['3046' '3085'],2,,,
63,17,3046,True,3037.3046,1173.2206820507042,925.7325758429512,377.0,[],1,Example,siLUC1,2,3037,,3085,['3055' '3070'],2,2.0,1645.0,27.416666666666668
64,17,3055,True,3037.3046.3055,1120.187516434757,985.3948871608916,650.0,[],1,Example,siLUC1,3,3046,3037,3070,[],0,2.0,1911.0,31.85
65,17,3070,True,3037.3046.3070,1150.8473153064765,1199.7372648586775,668.0,[],1,Example,siLUC1,3,3046,3037,3055,[],0,2.0,2037.0,33.95
66,17,3085,True,3037.3085,907.2262107582195,1264.0952210488633,569.0,[],1,Example,siLUC1,2,3037,,3046,[],0,2.0,2989.0,49.81666666666667
67,0,2008,True,2008,1029.3129774365977,415.0121423852108,174.0,['2010'],2,Example,siHAUS6,1,,,,[],0,,,
68,1,2035,True,2035,1038.1518383725888,475.7793113201501,164.0,['3052'],2,Example,siHAUS6,1,,,,[],0,,,
69,3,2079,True,2079,725.477132761901,481.30359940514467,223.0,['2083'],2,Example,siHAUS6,1,,,,[],0,,,
70,4,2107,True,2107,777.405440760849,811.656026887815,158.0,[],2,Example,siHAUS6,1,,,,['2118' '2130'],2,,,
71,4,2118,True,2107.2118,606.15251012602,913.3029276517135,420.0,[],2,Example,siHAUS6,2,2107,,2130,[],0,2.0,1834.0,30.566666666666666
72,4,2130,True,2107.2130,953.0778018636738,359.76926153526597,450.0,[],2,Example,siHAUS6,2,2107,,2118,['2138' '2150'],2,2.0,2044.0,34.06666666666667
73,4,2138,True,2107.2130.2138,842.5920401637841,199.56490707042582,684.0,[],2,Example,siHAUS6,3,2130,2107,2150,[],0,2.0,1638.0,27.3
74,4,2150,True,2107.2130.2150,930.9806495236958,423.851003321202,668.0,[],2,Example,siHAUS6,3,2130,2107,2138,[],0,2.0,1526.0,25.433333333333334
75,5,2165,True,2165,859.1649044187675,765.2520069738613,306.0,[],2,Example,siHAUS6,1,,,,[],0,,,
76,6,2181,True,2181,461.4161622991645,273.590367409352,223.0,[],2,Example,siHAUS6,1,,,,['2190'],1,,,
77,6,2190,True,2181.2190,527.7076193190984,10.634254563614387,719.0,"['2192', '2194']",2,Example,siHAUS6,2,2181,,,[],0,1.0,3472.0,57.86666666666667
78,7,2204,True,2204,1072.4024244995546,895.625205779731,167.0,[],2,Example,siHAUS6,1,,,,['2212' '2225'],2,,,
79,7,2212,True,2204.2212,1128.7501629664985,896.7300633967301,536.0,[],2,Example,siHAUS6,2,2204,,2225,[],0,2.0,2583.0,43.05
80,7,2225,True,2204.2225,1063.5635635635635,916.6175005027102,507.0,[],2,Example,siHAUS6,2,2204,,2212,[],0,2.0,2380.0,39.666666666666664
81,8,2244,True,2244,236.02520843138942,788.4540169308381,186.0,['2253'],2,Example,siHAUS6,1,,,,['2256'],1,,,
82,8,2256,True,2244.2256,574.1116392330521,725.477132761901,474.0,['2264'],2,Example,siHAUS6,2,2244,,,[],0,1.0,2016.0,33.6
83,9,2272,True,2272,1351.9314016002756,791.7685897818347,94.0,"['2280', '2282']",2,Example,siHAUS6,1,,,,[],0,,,
84,10,2287,True,2287,444.84329804418104,558.6436325950674,170.0,[],2,Example,siHAUS6,1,,,,['2296' '2306'],2,,,
85,10,2296,True,2287.2296,755.3082884208711,358.664403918267,596.0,['2298'],2,Example,siHAUS6,2,2287,,2306,[],0,2.0,2982.0,49.7
86,10,2306,True,2287.2306,522.1833312341038,567.4824935310586,601.0,"['2308', '2310']",2,Example,siHAUS6,2,2287,,2296,[],0,2.0,3017.0,50.28333333333333
87,11,2317,True,2317,985.1186727566418,722.1625599109043,357.0,[],2,Example,siHAUS6,1,,,,[],0,,,
88,12,2333,True,2333,503.4007517451226,606.15251012602,282.0,[],2,Example,siHAUS6,1,,,,['2340'],1,,,
89,12,2340,True,2333.2340,538.7561954890873,578.5310697010476,566.0,"['2342', '2344']",2,Example,siHAUS6,2,2333,,,[],0,1.0,1988.0,33.13333333333333
90,13,2353,True,2353,859.1649044187675,800.6074507178259,358.0,[],2,Example,siHAUS6,1,,,,[],0,,,
91,14,2370,True,2370,817.1803149728094,519.9736160001061,83.0,[],2,Example,siHAUS6,1,,,,['2377' '2390'],2,,,
92,14,2377,True,2370.2377,980.6992422886462,303.4215230683222,317.0,['2384'],2,Example,siHAUS6,2,2370,,2390,[],0,2.0,1638.0,27.3
93,14,2390,True,2370.2390,721.0577022939053,442.6335828101832,322.0,[],2,Example,siHAUS6,2,2370,,2377,[],0,2.0,1673.0,27.883333333333333
94,15,2407,True,2407,906.6737819497201,273.590367409352,154.0,[],2,Example,siHAUS6,1,,,,['2415' '2429'],2,,,
95,15,2415,True,2407.2415,1081.2412854355457,433.794721874192,429.0,[],2,Example,siHAUS6,2,2407,,2429,[],0,2.0,1925.0,32.083333333333336
96,15,2429,True,2407.2429,1065.7732787975613,325.5186754083001,395.0,['2437'],2,Example,siHAUS6,2,2407,,2415,['2440'],1,2.0,1687.0,28.116666666666667
97,15,2440,True,2407.2429.2440,1408.2791400672195,450.3675861291755,764.0,[],2,Example,siHAUS6,3,2429,2407,,[],0,1.0,2583.0,43.05
98,16,2456,True,2456,704.4848380389218,721.0577022939053,3.0,[],2,Example,siHAUS6,1,,,,['2463' '2520'],2,,,
99,16,2463,True,2456.2463,574.1116392330521,546.4901988080795,219.0,[],2,Example,siHAUS6,2,2456,,2520,['2471' '2485'],2,2.0,1512.0,25.2
100,16,2471,True,2456.2463.2471,765.2520069738613,819.3900302068072,680.0,[],2,Example,siHAUS6,3,2463,2456,2485,[],0,2.0,3227.0,53.78333333333333
101,16,2485,True,2456.2463.2485,441.52872519318436,749.7840003358767,515.0,[],2,Example,siHAUS6,3,2463,2456,2471,['2494' '2507'],2,2.0,2072.0,34.53333333333333
102,16,2494,True,2456.2463.2485.2494,324.4138177913012,919.9320733537069,717.0,[],2,Example,siHAUS6,4,2485,2463,2507,[],0,2.0,1414.0,23.566666666666666
103,16,2507,True,2456.2463.2485.2507,394.01984766223177,757.518003654869,743.0,[],2,Example,siHAUS6,4,2485,2463,2494,[],0,2.0,1596.0,26.6
104,16,2520,True,2456.2520,740.9451393998854,146.53174145447875,378.0,[],2,Example,siHAUS6,2,2456,,2463,['2528'],1,2.0,2625.0,43.75
105,16,2528,True,2456.2520.2528,749.7840003358767,222.76691702740266,577.0,[],2,Example,siHAUS6,3,2520,2456,,['2539'],1,1.0,1393.0,23.216666666666665
106,16,2539,True,2456.2520.2528.2539,764.1471493568623,391.81013242823394,806.0,[],2,Example,siHAUS6,4,2528,2520,,[],0,1.0,1603.0,26.716666666666665
107,20,2600,True,2600,1076.8218549675503,705.5896956559208,45.0,[],2,Example,siHAUS6,1,,,,['2621' '2629'],2,,,
108,20,2621,True,2600.2621,1132.0647358174951,535.4416226380906,493.0,[],2,Example,siHAUS6,2,2600,,2629,[],0,2.0,3136.0,52.266666666666666
109,20,2629,True,2600.2629,1038.1518383725888,722.1625599109043,194.0,[],2,Example,siHAUS6,2,2600,,2621,['2659'],1,2.0,1043.0,17.383333333333333
110,20,2659,True,2600.2629.2659,1526.4989050861016,637.0885234019892,564.0,[],2,Example,siHAUS6,3,2629,2600,,[],0,1.0,2590.0,43.166666666666664
111,25,2679,True,2679,883.4717719927434,355.3498310672703,29.0,[],2,Example,siHAUS6,1,,,,['2687' '2696'],2,,,
112,25,2687,True,2679.2687,858.0600468017686,426.06071855519974,235.0,[],2,Example,siHAUS6,2,2679,,2696,['2724' '2732'],2,2.0,1442.0,24.033333333333335
113,25,2696,True,2679.2696,1207.19505377342,536.5464802550895,394.0,['2782'],2,Example,siHAUS6,2,2679,,2687,['2706'],1,2.0,2555.0,42.583333333333336
114,25,2706,True,2679.2696.2706,1164.105606710463,391.81013242823394,724.0,[],2,Example,siHAUS6,3,2696,2679,,[],0,1.0,2310.0,38.5
115,25,2724,True,2679.2687.2724,1124.3307324985028,323.30896017430234,508.0,[],2,Example,siHAUS6,3,2687,2679,2732,['2759'],1,2.0,1911.0,31.85
116,25,2732,True,2679.2687.2732,558.6436325950674,321.0992449403045,497.0,[],2,Example,siHAUS6,3,2687,2679,2724,['2741'],1,2.0,1834.0,30.566666666666666
117,25,2741,True,2679.2687.2732.2741,631.5642353169947,102.33743677452286,753.0,[],2,Example,siHAUS6,4,2732,2687,,[],0,1.0,1792.0,29.866666666666667
118,25,2759,True,2679.2687.2724.2759,858.0600468017686,243.75921175038172,766.0,[],2,Example,siHAUS6,4,2724,2687,,[],0,1.0,1806.0,30.1
119,27,3066,True,3066,807.0864707283492,704.9179253567303,106.0,[],2,Example,siHAUS6,1,,,,['3074' '3103'],2,,,
