,Unnamed: 0,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours,N_dead_offspring,N_leaving_offspring,Laggings,Massive Missegregation,DNA bridge,Misaligned,MN,Multipolar Division,Cytokinesis Failure,Slippage,Other,Mitotic Death,any_true, ,Label,X,Y,Frame_onset,Frames_in_mitosis,Mitotic_duration_mins,Interphase_duration_mins,Interphase_duration_hrs,Mitotic_duration_hrs,Mother_Mitotic_duration_mins,Mother_arrested,Metaphase_arrested,Frame_onset_hrs,Frame_hrs,Augmin_depletion_bin,Mitotic_duration_bin,Unique_Track_ID,Unique_Source_ID,N_dead_offspring_bool
0,0,0,2004,True,2004,994.786176905382,916.89371490696,122,[],1,Example,1_siLUC1,1,,,,[],0,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,8,tomeasure:2004:110,987.114,927.47,109,13,91,,,1.5166666666666666,,,090-120,12.716666666666667,14.233333333333333,"(12, 36]","(90, 120]",Example10,Example12004,False
1,1,1,2027,True,2027,826.8478191215497,984.0138151396428,105,[],1,Example,1_siLUC1,1,,,,['2038' '2064'],2,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,2,tomeasure:2027:98,826.365,980.074,97,8,56,,,0.9333333333333333,,,030-060,11.316666666666666,12.25,nan,"(30, 60]",Example11,Example12027,False
2,2,1,2038,True,2027.2038,856.1265459720206,1054.7247026275725,423,[],1,Example,1_siLUC1,2,2027.0,,2064.0,[],0,2.0,2226.0,37.1,0,0,False,False,False,False,False,False,False,False,False,False,False,28,tomeasure:2038:414,847.486,1024.38,413,10,70,2156.0,35.93333333333333,1.1666666666666667,56.0,030-060,060-090,48.18333333333333,49.35,"(36, 60]","(60, 90]",Example11,Example12038,False
3,3,1,2064,True,2027.2064,439.04279555493673,1147.25652805123,511,[],1,Example,1_siLUC1,2,2027.0,,2038.0,[],0,2.0,2842.0,47.36666666666667,0,0,False,False,False,False,False,False,False,False,False,False,False,36,tomeasure:2064:503,439.389,1150.368,502,9,63,2779.0,46.31666666666667,1.05,56.0,030-060,060-090,58.56666666666667,59.61666666666667,"(36, 60]","(60, 90]",Example11,Example12064,False
4,4,2,2085,True,2085,665.262392635461,960.2593763741664,109,[],1,Example,1_siLUC1,1,,,,['2094' '2143'],2,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,5,tomeasure:2085:103,689.249,954.384,102,7,49,,,0.8166666666666667,,,030-060,11.9,12.716666666666667,nan,"(30, 60]",Example12,Example12085,False
5,5,2,2094,True,2085.2094,596.7612203815295,959.7069475656672,443,[],1,Example,1_siLUC1,2,2085.0,,2143.0,['2105' '2126'],2,2.0,2338.0,38.96666666666667,0,0,False,False,False,False,False,False,False,False,False,False,False,30,tomeasure:2094:437,591.439,973.048,436,7,49,2289.0,38.15,0.8166666666666667,49.0,030-060,030-060,50.86666666666667,51.68333333333333,"(36, 60]","(30, 60]",Example12,Example12094,False
6,6,2,2105,True,2085.2094.2105,849.7736146742769,935.9525088001908,694,[],1,Example,1_siLUC1,3,2094.0,2085.0,2126.0,[],0,2.0,1757.0,29.28333333333333,0,0,False,False,False,False,False,False,False,False,False,False,False,49,tomeasure:2105:678,836.295,931.598,677,17,119,1638.0,27.3,1.9833333333333334,49.0,030-060,090-120,78.98333333333333,80.96666666666667,"(60, 84]","(90, 120]",Example12,Example12105,False
7,7,2,2126,True,2085.2094.2126,855.8503315677709,1362.4275489617653,737,[],1,Example,1_siLUC1,3,2094.0,2085.0,2105.0,[],0,2.0,2058.0,34.3,0,0,False,False,False,False,False,False,False,False,False,False,False,56,tomeasure:2126:726,856.611,1410.193,725,12,84,1974.0,32.9,1.4,49.0,030-060,060-090,84.58333333333333,85.98333333333333,nan,"(60, 90]",Example12,Example12126,False
8,8,2,2143,True,2085.2143,632.6690929339935,783.7583720585928,438,[],1,Example,1_siLUC1,2,2085.0,,2094.0,['2154'],1,2.0,2303.0,38.38333333333333,0,0,False,False,False,False,False,False,False,False,False,False,False,29,tomeasure:2143:433,652.37,787.008,432,6,42,2261.0,37.68333333333333,0.7,49.0,030-060,030-060,50.4,51.1,"(36, 60]","(30, 60]",Example12,Example12143,False
9,9,2,2154,True,2085.2143.2154,164.76189213496056,738.1829953573882,787,[],1,Example,1_siLUC1,3,2143.0,2085.0,,[],0,1.0,2443.0,40.71666666666667,0,0,False,False,False,False,False,False,False,False,False,False,False,59,tomeasure:2154:781,167.973,734.382,780,7,49,2394.0,39.9,0.8166666666666667,42.0,030-060,030-060,91.0,91.81666666666666,nan,"(30, 60]",Example12,Example12154,False
10,10,3,2175,True,2175,1013.016327585864,910.5407836092162,120,[],1,Example,1_siLUC1,1,,,,['2186' '2237'],2,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,7,tomeasure:2175:114,1007.832,908.813,113,7,49,,,0.8166666666666667,,,030-060,13.183333333333334,14.0,"(12, 36]","(30, 60]",Example13,Example12175,False
11,11,3,2186,True,2175.2186,1044.5047696703325,982.9089575226438,357,[],1,Example,1_siLUC1,2,2175.0,,2237.0,['2197' '2212'],2,2.0,1659.0,27.65,0,0,False,False,False,False,False,False,False,False,False,False,False,18,tomeasure:2186:350,1036.832,972.61,349,8,56,1603.0,26.716666666666665,0.9333333333333333,49.0,030-060,030-060,40.71666666666667,41.65,"(36, 60]","(30, 60]",Example13,Example12186,False
12,12,3,2197,True,2175.2186.2197,746.1932130806302,737.6305665488887,817,[],1,Example,1_siLUC1,3,2186.0,2175.0,2212.0,[],0,2.0,3220.0,53.66666666666666,0,0,False,False,False,False,False,False,False,False,True,False,True,67,tomeasure:2197:816,750.134,737.285,815,2,14,3206.0,53.43333333333333,0.23333333333333334,56.0,030-060,000-030 min,95.08333333333333,95.31666666666666,nan,"(0, 30]",Example13,Example12197,False
13,13,3,2212,True,2175.2186.2212,1012.7401131816144,1484.2381012358935,783,[],1,Example,1_siLUC1,3,2186.0,2175.0,2197.0,[],0,2.0,2982.0,49.7,0,0,False,False,False,False,False,False,False,False,False,False,False,57,tomeasure:2212:776,1019.445,1481.48,775,8,56,2926.0,48.766666666666666,0.9333333333333333,56.0,030-060,030-060,90.41666666666667,91.35,nan,"(30, 60]",Example13,Example12212,False
14,14,3,2237,True,2175.2237,930.7044351194462,1297.7933783673298,384,[],1,Example,1_siLUC1,2,2175.0,,2186.0,['2252' '2291'],2,2.0,1848.0,30.8,0,0,False,False,False,False,False,False,False,False,False,False,False,22,tomeasure:2237:376,936.58,1315.697,375,9,63,1785.0,29.75,1.05,49.0,030-060,060-090,43.75,44.8,"(36, 60]","(60, 90]",Example13,Example12237,False
15,15,3,2252,True,2175.2237.2252,1008.5968971178684,830.4386063767962,643,[],1,Example,1_siLUC1,3,2237.0,2175.0,2291.0,[],0,2.0,1813.0,30.216666666666665,0,0,False,False,False,False,False,False,False,False,True,False,True,40,tomeasure:2252:635,997.883,846.268,634,9,63,1750.0,29.166666666666668,1.05,63.0,060-090,060-090,73.96666666666667,75.01666666666667,"(60, 84]","(60, 90]",Example13,Example12252,False
16,16,3,2291,True,2175.2237.2291,938.4384384384384,937.3335808214396,681,[],1,Example,1_siLUC1,3,2237.0,2175.0,2252.0,[],0,2.0,2079.0,34.65,0,0,False,False,False,False,False,False,False,False,False,False,False,47,tomeasure:2291:673,941.135,914.177,672,9,63,2016.0,33.6,1.05,63.0,060-090,060-090,78.4,79.45,"(60, 84]","(60, 90]",Example13,Example12291,False
17,17,4,2322,True,2322,1309.6705977500678,1072.1262100953052,107,[],1,Example,1_siLUC1,1,,,,['2335' '2390'],2,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,3,tomeasure:2322:100,1306.56,1061.274,99,8,56,,,0.9333333333333333,,,030-060,11.55,12.483333333333333,nan,"(30, 60]",Example14,Example12322,False
18,18,4,2335,True,2322.2335,1199.4610504544278,1268.2384371126093,398,[],1,Example,1_siLUC1,2,2322.0,,2390.0,['2354' '2367'],2,2.0,2037.0,33.95,0,0,False,False,False,False,False,False,False,False,False,False,False,23,tomeasure:2335:391,1210.867,1269.276,390,8,56,1981.0,33.016666666666666,0.9333333333333333,56.0,030-060,030-060,45.5,46.43333333333333,"(36, 60]","(30, 60]",Example14,Example12335,False
19,19,4,2354,True,2322.2335.2354,1039.2566959895878,371.0940521095046,817,[],1,Example,1_siLUC1,3,2335.0,2322.0,2367.0,[],0,2.0,2933.0,48.88333333333333,0,0,False,False,False,False,False,False,False,False,True,False,True,65,tomeasure:2354:816,1033.519,365.634,815,2,14,2919.0,48.65,0.23333333333333334,56.0,030-060,000-030 min,95.08333333333333,95.31666666666666,nan,"(0, 30]",Example14,Example12354,False
20,20,4,2367,True,2322.2335.2367,1121.292374051756,1261.0568626021163,677,[],1,Example,1_siLUC1,3,2335.0,2322.0,2354.0,[],0,2.0,1953.0,32.55,0,0,False,False,False,False,False,False,False,False,False,False,False,46,tomeasure:2367:666,1124.68,1267.21,665,12,84,1869.0,31.15,1.4,56.0,030-060,060-090,77.58333333333333,78.98333333333333,"(60, 84]","(60, 90]",Example14,Example12367,False
21,21,4,2390,True,2322.2390,1329.0056060475488,1200.289693667177,409,[],1,Example,1_siLUC1,2,2322.0,,2335.0,['2405' '2434'],2,2.0,2114.0,35.233333333333334,0,0,False,False,False,False,False,False,False,False,False,False,False,25,tomeasure:2390:402,1331.84,1195.935,401,8,56,2058.0,34.3,0.9333333333333333,56.0,030-060,030-060,46.78333333333333,47.71666666666667,"(36, 60]","(30, 60]",Example14,Example12390,False
22,22,4,2405,True,2322.2390.2405,1162.7245346892144,1420.1563594499578,654,['2418'],1,Example,1_siLUC1,3,2390.0,2322.0,2434.0,[],0,2.0,1715.0,28.58333333333333,0,0,False,False,False,False,False,False,False,False,False,False,False,42,tomeasure:2405:646,1156.573,1419.683,645,9,63,1652.0,27.533333333333335,1.05,56.0,030-060,060-090,75.25,76.3,"(60, 84]","(60, 90]",Example14,Example12405,False
23,23,4,2434,True,2322.2390.2434,1300.555522409827,1235.0927086026422,683,[],1,Example,1_siLUC1,3,2390.0,2322.0,2405.0,[],0,2.0,1918.0,31.966666666666665,0,0,False,False,False,False,False,False,False,False,False,False,False,48,tomeasure:2434:675,1306.155,1229.909,674,9,63,1855.0,30.916666666666668,1.05,56.0,030-060,060-090,78.63333333333334,79.68333333333334,"(60, 84]","(60, 90]",Example14,Example12434,False
24,24,5,2453,True,2453,477.71281214989824,893.4154905457334,109,[],1,Example,1_siLUC1,1,,,,['2460' '2496'],2,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,4,tomeasure:2453:105,471.699,892.655,104,5,35,,,0.5833333333333334,,,030-060,12.133333333333333,12.716666666666667,"(12, 36]","(30, 60]",Example15,Example12453,False
25,25,5,2460,True,2453.2460,328.55703385504705,1100.023864924527,420,[],1,Example,1_siLUC1,2,2453.0,,2496.0,['2473'],1,2.0,2177.0,36.28333333333333,0,0,True,False,False,False,False,False,False,False,False,False,True,26,tomeasure:2460:415,318.396,1098.987,414,6,42,2135.0,35.583333333333336,0.7,35.0,030-060,030-060,48.3,49.0,"(36, 60]","(30, 60]",Example15,Example12460,False
26,26,5,2473,True,2453.2460.2473,818.561386994058,1061.9062771380652,786,[],1,Example,1_siLUC1,3,2460.0,2453.0,,[],0,1.0,2562.0,42.7,0,0,False,False,False,False,False,False,False,False,False,False,False,58,tomeasure:2473:778,797.341,1013.174,777,9,63,2499.0,41.65,1.05,42.0,030-060,060-090,90.65,91.7,nan,"(60, 90]",Example15,Example12473,False
27,27,5,2496,True,2453.2496,611.9530126152642,985.1186727566418,473,[],1,Example,1_siLUC1,2,2453.0,,2460.0,['2507' '2522'],2,2.0,2548.0,42.46666666666667,0,0,False,False,False,False,False,False,False,False,False,False,False,31,tomeasure:2496:467,596.4,979.659,466,7,49,2499.0,41.65,0.8166666666666667,35.0,030-060,030-060,54.36666666666667,55.18333333333333,"(36, 60]","(30, 60]",Example15,Example12496,False
28,28,5,2507,True,2453.2496.2507,455.6156598099202,934.2952223746926,720,[],1,Example,1_siLUC1,3,2496.0,2453.0,2522.0,[],0,2.0,1729.0,28.816666666666663,0,0,False,False,False,False,False,False,False,False,False,False,False,53,tomeasure:2507:712,432.321,932.429,711,9,63,1666.0,27.766666666666666,1.05,49.0,030-060,060-090,82.95,84.0,"(60, 84]","(60, 90]",Example15,Example12507,False
29,29,5,2522,True,2453.2496.2522,729.6203488256468,872.9756246312537,671,[],1,Example,1_siLUC1,3,2496.0,2453.0,2507.0,[],0,2.0,1386.0,23.1,0,0,False,False,False,False,False,False,False,False,False,False,False,45,tomeasure:2522:665,733.146,885.626,664,7,49,1337.0,22.283333333333335,0.8166666666666667,49.0,030-060,030-060,77.46666666666667,78.28333333333333,"(60, 84]","(30, 60]",Example15,Example12522,False
30,30,6,2543,True,2543,785.4156584840912,1183.993043816443,117,[],1,Example,1_siLUC1,1,,,,['2550' '2580'],2,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,6,tomeasure:2543:110,784.103,1185.584,109,8,56,,,0.9333333333333333,,,030-060,12.716666666666667,13.65,"(12, 36]","(30, 60]",Example16,Example12543,False
31,31,6,2550,True,2543.2550,759.451504484617,1128.7501629664982,375,[],1,Example,1_siLUC1,2,2543.0,,2580.0,['2563'],1,2.0,1806.0,30.1,0,0,False,False,False,False,False,False,False,False,False,False,False,19,tomeasure:2550:368,756.341,1125.087,367,8,56,1750.0,29.166666666666668,0.9333333333333333,56.0,030-060,030-060,42.81666666666667,43.75,"(36, 60]","(30, 60]",Example16,Example12550,False
32,32,6,2563,True,2543.2550.2563,604.7714381047714,903.3592090987236,794,[],1,Example,1_siLUC1,3,2550.0,2543.0,,[],0,1.0,2933.0,48.88333333333333,0,0,False,False,False,False,False,False,False,False,False,False,False,61,tomeasure:2563:787,625.855,904.673,786,8,56,2877.0,47.95,0.9333333333333333,56.0,030-060,030-060,91.7,92.63333333333334,nan,"(30, 60]",Example16,Example12563,False
33,33,6,2580,True,2543.2580,764.6995781653617,1088.9752887545385,474,[],1,Example,1_siLUC1,2,2543.0,,2550.0,['2595'],1,2.0,2499.0,41.65,0,0,False,False,False,False,False,False,False,False,False,False,False,33,tomeasure:2580:467,769.193,1101.487,466,8,56,2443.0,40.71666666666667,0.9333333333333333,56.0,030-060,030-060,54.36666666666667,55.3,"(36, 60]","(30, 60]",Example16,Example12580,False
34,34,6,2595,True,2543.2580.2595,821.0473166323055,866.8989077377598,696,[],1,Example,1_siLUC1,3,2580.0,2543.0,,[],0,1.0,1554.0,25.9,0,0,False,False,False,False,False,False,False,False,False,False,False,50,tomeasure:2595:688,806.048,876.093,687,9,63,1491.0,24.85,1.05,56.0,030-060,060-090,80.15,81.2,"(60, 84]","(60, 90]",Example16,Example12595,False
35,35,7,2612,True,2612,537.098909063589,1028.2081198195988,174,[],1,Example,1_siLUC1,1,,,,['2623'],1,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,14,tomeasure:2612:167,534.265,1024.822,166,8,56,,,0.9333333333333333,,,030-060,19.366666666666667,20.3,"(12, 36]","(30, 60]",Example17,Example12612,False
36,36,7,2623,True,2612.2623,564.1679206800619,924.903932630202,474,[],1,Example,1_siLUC1,2,2612.0,,,[],0,1.0,2100.0,35.0,0,0,False,False,False,False,False,False,False,False,False,False,False,32,tomeasure:2623:465,568.247,927.047,464,10,70,2030.0,33.833333333333336,1.1666666666666667,56.0,030-060,060-090,54.13333333333333,55.3,"(36, 60]","(60, 90]",Example17,Example12623,False
37,37,8,2640,True,2640,1096.4330776692805,920.760716566456,142,[],1,Example,1_siLUC1,1,,,,['2649' '2694'],2,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,10,tomeasure:2640:136,1080.327,932.028,135,7,49,,,0.8166666666666667,,,030-060,15.75,16.566666666666666,"(12, 36]","(30, 60]",Example18,Example12640,False
38,38,8,2649,True,2640.2649,1075.993211754801,912.4742844389644,423,[],1,Example,1_siLUC1,2,2640.0,,2694.0,['2662' '2677'],2,2.0,1967.0,32.78333333333333,0,0,False,False,False,False,False,False,False,False,False,False,False,27,tomeasure:2649:416,1084.496,909.226,415,8,56,1911.0,31.85,0.9333333333333333,49.0,030-060,030-060,48.416666666666664,49.35,"(36, 60]","(30, 60]",Example18,Example12649,False
39,39,8,2662,True,2640.2649.2662,951.4205154381752,1253.8752880916234,816,[],1,Example,1_siLUC1,3,2649.0,2640.0,2677.0,[],0,2.0,2751.0,45.85,0,0,False,False,False,False,False,False,False,False,False,False,False,64,tomeasure:2662:807,952.319,1249.382,806,10,70,2681.0,44.68333333333333,1.1666666666666667,56.0,030-060,060-090,94.03333333333333,95.2,nan,"(60, 90]",Example18,Example12662,False
40,40,8,2677,True,2640.2649.2677,1085.384501499292,878.4999127162482,664,[],1,Example,1_siLUC1,3,2649.0,2640.0,2662.0,[],0,2.0,1687.0,28.116666666666667,0,0,False,False,False,False,False,False,False,False,False,False,False,43,tomeasure:2677:653,1084.072,878.154,652,12,84,1603.0,26.716666666666665,1.4,56.0,030-060,060-090,76.06666666666666,77.46666666666667,"(60, 84]","(60, 90]",Example18,Example12677,False
41,41,8,2694,True,2640.2694,899.7684218434771,1156.371603391471,401,[],1,Example,1_siLUC1,2,2640.0,,2649.0,['2707'],1,2.0,1813.0,30.216666666666665,0,0,False,False,False,False,False,False,False,False,False,False,False,24,tomeasure:2694:390,898.456,1137.916,389,12,84,1729.0,28.816666666666666,1.4,49.0,030-060,060-090,45.38333333333333,46.78333333333333,"(36, 60]","(60, 90]",Example18,Example12694,False
