,Unnamed: 0.1,Unnamed: 0,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,Position,Dataset,Generation,Mother_ID,Grandmother_ID,Sister_ID,Cell_Cycle_mins,Cell_Cycle_hours,Seen_sister,Random_ID,Seen_granny, ,Label,X,Y,Frame_onset,Frames_in_mitosis,Mitotic_duration_mins,Interphase_duration_mins,Interphase_duration_hrs,Mitotic_duration_hrs,Mother_Mitotic_duration_mins,Mother_arrested,Metaphase_arrested,Frame_onset_hrs,Frame_hrs,Mitotic_duration_bin,Unique_Track_ID,Unique_Source_ID,Laggings,Massive Missegregation,DNA bridge,Misaligned,MN,Multipolar Divition,Citokinesis Failure,Slippage,Mitotic Death,Comments,any_true
0,0,0,0,2011,True,2011,444.5668994462594,406.8636488874434,66,3,20250627,1,,,,,,,5356,,22,tomeasure:2011:11,171.529,747.022,11,55,385,,,6.416666666666667,,,> 120 min,1.2833333333333334,7.7,"(360, 390]",2025062730,2025062732011,False,False,False,True,True,False,False,False,False,,True
1,1,0,0,2012,True,2012,761.9374341228645,648.1370995719781,59,3,20250704,1,,,,,,,2771,,52,tomeasure:2012:14,819.528,643.027,14,45,315,,,5.25,,,> 120 min,1.6333333333333333,6.883333333333334,"(300, 330]",2025070430,2025070432012,False,False,False,False,False,False,False,False,False,,False
2,2,4,1,2081,True,2081,580.7407849350454,683.7687577201925,58,3,20250704,1,,,,,,,5621,,46,tomeasure:2081:48,568.449,727.549,48,10,70,,,1.1666666666666667,,,060-090,5.6,6.766666666666667,"(60, 90]",2025070431,2025070432081,False,False,False,False,False,False,False,False,False,,False
3,3,2,0,2105,True,2011.2105,452.6461674231485,440.838006533849,527,3,20250627,2,2011.0,,2187.0,3227.0,53.78333333333333,True,5749,,76,tomeasure:2105:500,454.096,473.569,500,27,189,3038.0,50.63333333333333,3.15,385.0,> 120 min,> 120 min,58.333333333333336,61.48333333333333,"(180, 210]",2025062730,2025062732105,False,False,False,True,True,False,False,False,False,,True
4,4,8,2,2139,True,2139,972.4128101611544,1337.84446698354,58,3,20250704,1,,,,,,,2354,,48,tomeasure:2139:43,954.597,1360.632,43,15,105,,,1.75,,,090-120,5.016666666666667,6.766666666666667,"(90, 120]",2025070432,2025070432139,False,False,False,False,False,False,False,False,False,,False
5,5,4,0,2187,True,2011.2187,548.3544188416815,554.7764010797216,517,3,20250627,2,2011.0,,2105.0,3157.0,52.61666666666667,False,6122,,73,tomeasure:2187:503,548.976,554.776,503,14,98,3059.0,50.98333333333333,1.6333333333333333,385.0,> 120 min,090-120,58.68333333333333,60.31666666666667,"(90, 120]",2025062730,2025062732187,False,False,False,False,False,False,False,False,False,,False
6,6,12,3,2196,True,2196,737.9067809531385,1099.195221711778,61,3,20250704,1,,,,,,,5209,,58,tomeasure:2196:1,677.002,1095.466,1,60,420,,,7.0,,,> 120 min,0.1166666666666666,7.116666666666666,"(390, 420]",2025070433,2025070432196,False,False,False,False,False,False,False,False,False,,False
7,7,6,1,2219,True,2219,277.664414829669,493.3877751698545,72,3,20250627,1,,,,,,,6483,,25,tomeasure:2219:3,261.851,490.142,3,69,483,,,8.05,,,> 120 min,0.35,8.4,"(480, 510]",2025062731,2025062732219,False,False,False,False,False,False,True,False,False,,True
8,8,8,2,2245,True,2245,380.4161306383105,449.1934888005464,61,3,20250627,1,,,,,,,2219,,6,tomeasure:2245:29,379.933,446.639,29,32,224,,,3.733333333333333,,,> 120 min,3.3833333333333333,7.116666666666666,"(210, 240]",2025062732,2025062732245,False,False,False,False,False,False,False,False,False,,False
9,9,14,4,2246,True,2246,1006.3871818838704,582.9505001690432,58,3,20250704,1,,,,,,,2164,,44,tomeasure:2246:26,1045.748,565.135,26,32,224,,,3.733333333333333,,,> 120 min,3.033333333333333,6.766666666666667,"(210, 240]",2025070434,2025070432246,True,False,False,True,True,False,False,False,False,,True
10,10,10,2,2276,True,2245.2276,546.1447045232161,420.329095515592,507,3,20250627,2,2245.0,,2307.0,3122.0,52.03333333333333,False,5585,,71,tomeasure:2276:501,543.59,416.807,501,6,42,3080.0,51.333333333333336,0.7,224.0,> 120 min,030-060,58.45,59.15,"(30, 60]",2025062732,2025062732276,False,False,False,False,False,False,False,False,False,,False
11,11,12,2,2307,True,2245.2307,395.0554879981439,495.459382343416,450,3,20250627,2,2245.0,,2276.0,2723.0,45.38333333333333,True,2681,,64,tomeasure:2307:443,394.434,489.728,443,7,49,2674.0,44.56666666666667,0.8166666666666667,224.0,> 120 min,030-060,51.68333333333333,52.5,"(30, 60]",2025062732,2025062732307,False,False,False,False,False,False,False,False,False,,False
12,12,18,5,2319,True,2319,1255.8087889213716,838.1726096957884,62,3,20250704,1,,,,,,,5656,,64,tomeasure:2319:15,1260.366,763.18,15,47,329,,,5.483333333333333,,,> 120 min,1.75,7.233333333333333,"(300, 330]",2025070435,2025070432319,False,False,False,False,False,False,True,False,False,,True
13,13,14,3,2332,True,2332,469.3571319565432,520.5948827159599,163,3,20250627,1,,,,,,,5498,,33,tomeasure:2332:157,464.454,520.802,157,6,42,,,0.7,,,030-060,18.316666666666663,19.016666666666666,"(30, 60]",2025062733,2025062732332,False,False,False,False,False,False,False,False,False,,False
14,14,16,3,2346,True,2332.2346,504.7125610519898,551.2546688846675,404,3,20250627,2,2332.0,,,1687.0,28.116666666666667,,2553,,60,tomeasure:2346:400,504.644,553.119,400,4,28,1659.0,27.65,0.4666666666666667,42.0,030-060,000-030 min,46.66666666666666,47.13333333333333,"(0, 30]",2025062733,2025062732346,False,False,False,False,False,False,False,False,False,,False
15,15,20,6,2354,True,2354,1224.5965612411528,1169.6298947954576,68,3,20250704,1,,,,,,,2631,,70,tomeasure:2354:49,1208.162,1184.96,49,19,133,,,2.216666666666667,,,> 120 min,5.716666666666667,7.933333333333334,"(120, 150]",2025070436,2025070432354,False,False,False,False,False,False,False,False,False,,False
16,16,18,5,2384,True,2384,607.7404911504395,407.6232381844158,243,3,20250627,1,,,,,,,5635,,39,tomeasure:2384:236,606.567,408.935,236,7,49,,,0.8166666666666667,,,030-060,27.53333333333333,28.35,"(30, 60]",2025062735,2025062732384,False,False,False,False,False,False,False,False,False,Bumpy daughter nucleus,False
17,17,22,7,2390,True,2390,148.4652422842268,1213.8241994754137,64,3,20250704,1,,,,,,,2771,,67,tomeasure:2390:55,100.266,1237.993,55,9,63,,,1.05,,,060-090,6.416666666666667,7.466666666666667,"(60, 90]",2025070437,2025070432390,False,False,False,False,False,False,False,False,False,,False
18,18,20,5,2394,True,2384.2394,635.3619201312571,333.5978085158246,532,3,20250627,2,2384.0,,2419.0,2023.0,33.71666666666667,False,5378,,78,tomeasure:2394:523,630.183,332.286,523,9,63,1960.0,32.666666666666664,1.05,49.0,030-060,060-090,61.016666666666666,62.06666666666667,"(60, 90]",2025062735,2025062732394,False,False,False,False,False,False,False,False,False,,False
19,19,22,5,2419,True,2384.2419,655.8017775770621,358.1808803087524,541,3,20250627,2,2384.0,,2394.0,2086.0,34.766666666666666,True,6669,,80,tomeasure:2419:531,660.014,350.516,531,10,70,2016.0,33.6,1.1666666666666667,49.0,030-060,060-090,61.95,63.11666666666667,"(60, 90]",2025062735,2025062732419,False,False,False,False,False,False,False,False,False,,False
20,20,26,8,2436,True,2436,1463.2458065129144,958.6020899486682,68,3,20250704,1,,,,,,,5562,,71,tomeasure:2436:1,1432.724,912.336,1,67,469,,,7.816666666666666,,,> 120 min,0.1166666666666666,7.933333333333334,"(450, 480]",2025070438,2025070432436,False,False,False,False,False,False,False,False,False,,False
21,21,24,4,2445,True,2445,582.1906693431831,400.44166664940326,61,3,20250627,1,,,,,,,2105,,10,tomeasure:2445:55,581.707,393.191,55,6,42,,,0.7,,,030-060,6.416666666666667,7.116666666666666,"(30, 60]",2025062734,2025062732445,False,False,False,False,False,False,False,False,False,,False
22,22,26,4,2464,True,2445.2464,684.6661708620164,383.0401663914882,237,3,20250627,2,2445.0,,2524.0,1232.0,20.53333333333333,True,5397,,37,tomeasure:2464:228,694.403,384.905,228,9,63,1169.0,19.48333333333333,1.05,42.0,030-060,060-090,26.6,27.65,"(60, 90]",2025062734,2025062732464,False,False,False,False,False,False,False,False,False,,False
23,23,28,4,2480,True,2445.2464.2480,732.7274572886391,180.43698481719105,555,3,20250627,3,2464.0,2445.0,2501.0,2226.0,37.1,True,5749,True,84,tomeasure:2480:548,731.692,178.158,548,7,49,2177.0,36.28333333333333,0.8166666666666667,63.0,060-090,030-060,63.93333333333333,64.75,"(30, 60]",2025062734,2025062732480,False,False,False,False,False,False,False,False,False,,False
24,24,30,9,2492,True,2492,1256.637432134121,480.19874178814575,60,3,20250704,1,,,,,,,5827,,54,tomeasure:2492:25,1249.594,404.378,25,35,245,,,4.083333333333333,,,> 120 min,2.9166666666666665,7.0,"(240, 270]",2025070439,2025070432492,False,False,False,False,False,False,False,False,False,,False
25,25,30,4,2501,True,2445.2464.2501,701.6533496852193,334.5645585301533,494,3,20250627,3,2464.0,2445.0,2480.0,1799.0,29.98333333333333,False,3149,False,69,tomeasure:2501:486,704.761,339.329,486,8,56,1743.0,29.05,0.9333333333333332,63.0,060-090,030-060,56.7,57.63333333333333,"(30, 60]",2025062734,2025062732501,False,False,False,False,False,False,False,False,False,,False
26,26,32,4,2524,True,2445.2524,724.0267071596816,335.80752283429007,284,3,20250627,2,2445.0,,2464.0,1561.0,26.016666666666666,False,5842,,45,tomeasure:2524:267,727.963,340.572,267,17,119,1442.0,24.03333333333333,1.9833333333333332,42.0,030-060,090-120,31.15,33.13333333333333,"(90, 120]",2025062734,2025062732524,False,False,False,False,False,False,False,False,False,,False
27,27,32,10,2529,True,2529,789.2826601435872,219.452344176406,67,3,20250704,1,,,,,,,5370,,69,tomeasure:2529:1,830.3,265.994,1,66,462,,,7.7,,,> 120 min,0.1166666666666666,7.816666666666666,"(450, 480]",20250704310,2025070432529,False,False,False,False,False,False,False,False,False,,False
28,28,34,5,2547,True,2547,344.50827296324763,446.4313459024646,1,3,20250627,1,,,,,,,2951,,1,tomeasure:2547:1,349.687,435.038,1,0,0,,,0.0,,,000-030 min,0.1166666666666666,0.1166666666666666,,2025062735,2025062732547,False,False,False,False,False,False,False,False,False,where is mitosis,False
